Symbol,Sector
JCI,Industriales
JPM,Finanzas
JNPR,Tecnologia Informatica
K,Productos basicos
KDP,Productos basicos
KEY,Finanzas
KEYS,Tecnologia Informatica
KMB,Productos basicos
KIM,Bienes Raices
KMI,Energia
KLAC,Tecnologia Informatica
KHC,Productos basicos
KR,Productos basicos
LHX,Industriales
LH,Cuidado de Salud
LRCX,Tecnologia Informatica
LW,Productos basicos
LVS,Consumo Discrecional
LDOS,Industriales
LEN,Consumo Discrecional
LNC,Finanzas
LIN,Materiales
LYV,Servicios de Comunicacion
LKQ,Consumo Discrecional
LMT,Industriales
L,Finanzas
LOW,Consumo Discrecional
LUMN,Servicios de Comunicacion
LYB,Materiales
MTB,Finanzas
MRO,Energia
MPC,Energia
MKTX,Finanzas
MAR,Consumo Discrecional
MMC,Finanzas
MLM,Materiales
MAS,Industriales
MA,Tecnologia Informatica
MTCH,Servicios de Comunicacion
MKC,Productos basicos
MCD,Consumo Discrecional
MCK,Cuidado de Salud
MDT,Cuidado de Salud
MRK,Cuidado de Salud
META,Servicios de Comunicacion
MET,Finanzas
MTD,Cuidado de Salud
MGM,Consumo Discrecional
MCHP,Tecnologia Informatica
MU,Tecnologia Informatica
MSFT,Tecnologia Informatica
MAA,Bienes Raices
MRNA,Cuidado de Salud
MHK,Consumo Discrecional
MOH,Cuidado de Salud
TAP,Productos basicos
MDLZ,Productos basicos
MPWR,Tecnologia Informatica
MNST,Productos basicos
MCO,Finanzas
MS,Finanzas
MOS,Materiales
MSI,Tecnologia Informatica
MSCI,Finanzas
NDAQ,Finanzas
NTAP,Tecnologia Informatica
NFLX,Servicios de Comunicacion
NWL,Consumo Discrecional
NEM,Materiales
NWSA,Servicios de Comunicacion
NWS,Servicios de Comunicacion
NEE,Utilidades
NKE,Consumo Discrecional
NI,Utilidades
NDSN,Industriales
NSC,Industriales
NTRS,Finanzas
NOC,Industriales
NCLH,Consumo Discrecional
NRG,Utilidades
NUE,Materiales
NVDA,Tecnologia Informatica
NVR,Consumo Discrecional
NXPI,Tecnologia Informatica
ORLY,Consumo Discrecional
OXY,Energia
ODFL,Industriales
OMC,Servicios de Comunicacion
ON,Tecnologia Informatica
OKE,Energia
ORCL,Tecnologia Informatica
OGN,Cuidado de Salud
OTIS,Industriales
PCAR,Industriales
PKG,Materiales
PARA,Servicios de Comunicacion
PH,Industriales
PAYX,Tecnologia Informatica
PAYC,Tecnologia Informatica
PYPL,Tecnologia Informatica
PNR,Industriales
PEP,Productos basicos
PKI,Cuidado de Salud
PFE,Cuidado de Salud
PCG,Utilidades
PM,Productos basicos
PSX,Energia
PNW,Utilidades
PXD,Energia
PNC,Finanzas
POOL,Consumo Discrecional
PPG,Materiales
PPL,Utilidades
PFG,Finanzas
PG,Productos basicos
PGR,Finanzas
PLD,Bienes Raices
PRU,Finanzas
PEG,Utilidades
PTC,Tecnologia Informatica
PSA,Bienes Raices
PHM,Consumo Discrecional
QRVO,Tecnologia Informatica
PWR,Industriales
QCOM,Tecnologia Informatica
DGX,Cuidado de Salud
RL,Consumo Discrecional
RJF,Finanzas
RTX,Industriales
O,Bienes Raices
REG,Bienes Raices
REGN,Cuidado de Salud
RF,Finanzas
RSG,Industriales
RMD,Cuidado de Salud
RHI,Industriales
ROK,Industriales
ROL,Industriales
ROP,Tecnologia Informatica
ROST,Consumo Discrecional
RCL,Consumo Discrecional
SPGI,Finanzas
CRM,Tecnologia Informatica
SBAC,Bienes Raices
SLB,Energia
STX,Tecnologia Informatica
SEE,Materiales
SRE,Utilidades
NOW,Tecnologia Informatica
SHW,Materiales
SBNY,Finanzas
SPG,Bienes Raices
SWKS,Tecnologia Informatica
SJM,Productos basicos
SNA,Industriales
SEDG,Tecnologia Informatica
SO,Utilidades
LUV,Industriales
SWK,Industriales
SBUX,Consumo Discrecional
STT,Finanzas
STLD,Materiales
STE,Cuidado de Salud
SYK,Cuidado de Salud
SIVB,Finanzas
SYF,Finanzas
SNPS,Tecnologia Informatica
SYY,Productos basicos
TMUS,Servicios de Comunicacion
TROW,Finanzas
TTWO,Servicios de Comunicacion
TPR,Consumo Discrecional
TRGP,Energia
TGT,Consumo Discrecional
TEL,Tecnologia Informatica
TDY,Tecnologia Informatica
TFX,Cuidado de Salud
TER,Tecnologia Informatica
TSLA,Consumo Discrecional
TXN,Tecnologia Informatica
TXT,Industriales
TMO,Cuidado de Salud
TJX,Consumo Discrecional
TSCO,Consumo Discrecional
TT,Industriales
TDG,Industriales
TRV,Finanzas
TRMB,Tecnologia Informatica
TFC,Finanzas
TYL,Tecnologia Informatica
TSN,Productos basicos
USB,Finanzas
UDR,Bienes Raices
ULTA,Consumo Discrecional
UNP,Industriales
UAL,Industriales
UPS,Industriales
URI,Industriales
UNH,Cuidado de Salud
UHS,Cuidado de Salud
VLO,Energia
VTR,Bienes Raices
VRSN,Tecnologia Informatica
VRSK,Industriales
VZ,Servicios de Comunicacion
VRTX,Cuidado de Salud
VFC,Consumo Discrecional
VTRS,Cuidado de Salud
VICI,Bienes Raices
V,Tecnologia Informatica
VMC,Materiales
WAB,Industriales
WBA,Productos basicos
WMT,Productos basicos
WBD,Servicios de Comunicacion
WM,Industriales
WAT,Cuidado de Salud
WEC,Utilidades
WFC,Finanzas
WELL,Bienes Raices
WST,Cuidado de Salud
WDC,Tecnologia Informatica
WRK,Materiales
WY,Bienes Raices
WHR,Consumo Discrecional
WMB,Energia
WTW,Finanzas
GWW,Industriales
WYNN,Consumo Discrecional
XEL,Utilidades
XYL,Industriales
YUM,Consumo Discrecional
ZBRA,Tecnologia Informatica
ZBH,Cuidado de Salud
ZION,Finanzas
ZTS,Cuidado de Salud
